!Version=1,type=LEV,encoding=MBCS,,,
FILECONT, TITLE,,,,
3,1,,,,
UserSettings,U_VALUES,U_DATETIME,,,
UserSettingsValues,m AD,yyyy-mm-dd hh:mm,,,
G_START,G_TS,G_NPROFILES,G_DATATYPE,,
2020/03/31 00:00,600,5,0,,
L_NODEID,L_PIPELEVEL,L_PTITLE,,,
     OF1,0,,,,
     OF2,0,,,,
     OF3,0,,,,
     OF4,0,,,,
     OF5,0,,,,
P_DATETIME,1,2,3,4.0,5.0
2020-04-01 04:30:00,0.76,0.76,0.76,0.76,0.76
2020-04-01 04:40:00,0.77,0.77,0.77,0.77,0.77
2020-04-01 04:50:00,0.79,0.79,0.79,0.79,0.79
2020-04-01 05:00:00,0.8049999999999999,0.8049999999999999,0.8049999999999999,0.8049999999999999,0.8049999999999999
2020-04-01 05:10:00,0.81,0.81,0.81,0.81,0.81
2020-04-01 05:20:00,0.815,0.815,0.815,0.815,0.815
2020-04-01 05:30:00,0.815,0.815,0.815,0.815,0.815
2020-04-01 05:40:00,0.82,0.82,0.82,0.82,0.82
2020-04-01 05:50:00,0.815,0.815,0.815,0.815,0.815
2020-04-01 06:00:00,0.815,0.815,0.815,0.815,0.815
2020-04-01 06:10:00,0.815,0.815,0.815,0.815,0.815
2020-04-01 06:20:00,0.805,0.805,0.805,0.805,0.805
2020-04-01 06:30:00,0.795,0.795,0.795,0.795,0.795
2020-04-01 06:40:00,0.795,0.795,0.795,0.795,0.795
2020-04-01 06:50:00,0.79,0.79,0.79,0.79,0.79
2020-04-01 07:00:00,0.765,0.765,0.765,0.765,0.765
2020-04-01 07:10:00,0.76,0.76,0.76,0.76,0.76
2020-04-01 07:20:00,0.755,0.755,0.755,0.755,0.755
2020-04-01 07:30:00,0.75,0.75,0.75,0.75,0.75
2020-04-01 07:40:00,0.745,0.745,0.745,0.745,0.745
2020-04-01 07:50:00,0.735,0.735,0.735,0.735,0.735
2020-04-01 08:00:00,0.725,0.725,0.725,0.725,0.725
2020-04-01 08:10:00,0.72,0.72,0.72,0.72,0.72
2020-04-01 08:20:00,0.715,0.715,0.715,0.715,0.715
2020-04-01 08:30:00,0.715,0.715,0.715,0.715,0.715
2020-04-01 08:40:00,0.715,0.715,0.715,0.715,0.715
2020-04-01 08:50:00,0.705,0.705,0.705,0.705,0.705
2020-04-01 09:00:00,0.7,0.7,0.7,0.7,0.7
2020-04-01 09:10:00,0.69,0.69,0.69,0.69,0.69
2020-04-01 09:20:00,0.69,0.69,0.69,0.69,0.69
2020-04-01 09:30:00,0.685,0.685,0.685,0.685,0.685
2020-04-01 09:40:00,0.68,0.68,0.68,0.68,0.68
2020-04-01 09:50:00,0.675,0.675,0.675,0.675,0.675
2020-04-01 10:00:00,0.675,0.675,0.675,0.675,0.675
2020-04-01 10:10:00,0.675,0.675,0.675,0.675,0.675
2020-04-01 10:20:00,0.68,0.68,0.68,0.68,0.68
2020-04-01 10:30:00,0.69,0.69,0.69,0.69,0.69
2020-04-01 10:40:00,0.705,0.705,0.705,0.705,0.705
2020-04-01 10:50:00,0.72,0.72,0.72,0.72,0.72
2020-04-01 11:00:00,0.74,0.74,0.74,0.74,0.74
